LUI,Plot,Time,Day,Date,mgN2ONd,gCO2Cd,mgCO2sub,ngN2Osub,cumCO2sub,cumN2Osub
High,a,1,1,04/07/2017,-0.241446401,9.620144464,0.917893015,1.64949507,0.042029686,0.07552537
High,b,1,1,04/07/2017,0.077955935,8.53447511,1.163387585,18.19632979,0.049347979,0.77180309
High,c,1,1,04/07/2017,0.053461008,9.441548111,1.093047111,0,0.043342866,-0.00026211
High,d,1,1,04/07/2017,-0.087315058,9.06411368,1.36092646,0.148334665,0.049720958,0.005419076
High,e,1,1,04/07/2017,-0.695553971,8.846206505,2.238778408,0,0.07787454,-0.036332238
Low,f,1,1,04/07/2017,0.989176551,8.908502884,1.285642154,24.23740227,0.052678668,0.993411554
Low,g,1,1,04/07/2017,0.03764938,9.732600054,0.939764028,2.638742567,0.035307351,0.099168055
Low,h,1,1,04/07/2017,0.957128981,10.24731936,1.710014744,18.2893202,0.06036027,0.645769213
Low,i,1,1,04/07/2017,1.993822936,9.774432558,1.281081325,16.54474976,0.042575103,0.550006302
Low,j,1,1,04/07/2017,0.565966024,8.33983364,1.079917186,11.36011911,0.033337116,0.350791383
High,a,2,3,06/07/2017,-0.180872804,17.35267376,2.200686712,0.578922626,0.212742339,0.137363787
High,b,2,3,06/07/2017,0.04545838,17.02146164,3.368061344,3.184897104,0.245216019,1.717229287
High,c,2,3,06/07/2017,-0.128421021,19.46915375,3.626605829,14.81036527,0.234308068,0.01923375
High,d,2,3,06/07/2017,0.100966361,16.92893959,4.186909581,1.243750469,0.252949067,0.040666453
High,e,2,3,06/07/2017,0.124525579,18.62488961,5.532524826,11.65873209,0.349792177,0.164151053
Low,f,2,3,06/07/2017,1.269299984,10.36269335,3.985759651,210.2333917,0.24562693,14.04731423
Low,g,2,3,06/07/2017,0.117841623,9.041810753,3.497833012,128.5947826,0.169738766,1.085502065
Low,h,2,3,06/07/2017,1.717052305,17.54510039,4.584009893,647.556786,0.289352419,6.916942038
Low,i,2,3,06/07/2017,1.46055139,14.69233654,4.63688099,166.0890809,0.30193576,8.651268689
