LUI,Plot,Pool,Element,sub
High intensity,a,Microbial biomass,Carbon,0.764315765
High intensity,b,Microbial biomass,Carbon,1.139607861
High intensity,c,Microbial biomass,Carbon,0.365820099
High intensity,d,Microbial biomass,Carbon,2.376508379
High intensity,e,Microbial biomass,Carbon,4.718403071
Low intensity,f,Microbial biomass,Carbon,1.556149314
Low intensity,g,Microbial biomass,Carbon,1.269112033
Low intensity,h,Microbial biomass,Carbon,0.150416147
Low intensity,i,Microbial biomass,Carbon,2.822729604
Low intensity,j,Microbial biomass,Carbon,1.982339471
High intensity,a,Microbial biomass,Nitrogen,0.318543134
High intensity,b,Microbial biomass,Nitrogen,0.558816338
High intensity,c,Microbial biomass,Nitrogen,0.246832627
High intensity,d,Microbial biomass,Nitrogen,0.892037124
High intensity,e,Microbial biomass,Nitrogen,1.313493031
Low intensity,f,Microbial biomass,Nitrogen,0.378683171
Low intensity,g,Microbial biomass,Nitrogen,0.214011775
Low intensity,h,Microbial biomass,Nitrogen,0
Low intensity,i,Microbial biomass,Nitrogen,0.79426945
Low intensity,j,Microbial biomass,Nitrogen,0.506451459
