LUI,plot,depth,time,MB13C,MB15N,mbc,mbn,soilCf,soilCb,soilNf,soilNb
High intensity,a,asurface,3,26.02895676,21.90902427,20.35299752,2.243925873,1.235089181,1.890344069,0.616438922,0.92084904
High intensity,b,asurface,3,17.31172769,6.599753341,19.38489466,0.566209742,1.020691316,1.604995129,0.530086349,0.873437127
High intensity,c,asurface,3,42.3343718,33.93090091,32.01560796,3.001218785,1.223623459,1.949512633,0.656120148,1.012033287
High intensity,d,asurface,3,46.79805352,25.52984055,28.44876117,2.588513158,1.206715379,1.603133688,0.595525611,0.891229747
High intensity,e,asurface,3,17.74740205,44.03353457,13.58855471,3.438290455,0.962100985,1.358734912,0.483065401,0.741130856
Low intensity,f,asurface,3,25.41171404,7.517234052,13.7574332,0.720100754,0.628590157,1.176804261,0.318221212,0.56748785
Low intensity,g,asurface,3,19.39876611,18.77825117,10.61728323,1.839070584,0.87081754,1.364227026,0.397733631,0.705883903
Low intensity,h,asurface,3,70.59090769,43.16884959,31.29465857,3.691418144,1.088044183,2.520634508,0.609648649,1.095620861
Low intensity,i,asurface,3,8.88483085,8.789533722,14.90917026,0.817700994,1.086343701,1.303244853,0.45750366,0.605076755
Low intensity,j,asurface,3,28.67843631,27.34191498,20.26902888,3.997678974,0.823350277,1.227963197,0.371269395,0.629056936
High intensity,a,subsurface,3,14.84985746,0,24.96100429,1.348362709,0.292943076,0.456013512,0.122856752,0.179076682
High intensity,b,subsurface,3,10.22699697,2.245577175,36.09234882,2.023722611,0.099904627,0.201969467,0.049318034,0.077375941
High intensity,c,subsurface,3,8.728317792,3.248651465,33.30800738,2.242788971,0.167145241,0.322008674,0.079283911,0.157310631
High intensity,d,subsurface,3,6.207761781,3.688425517,21.66447718,1.515278547,0.088945003,0.137750448,0.038018472,0.054601519
High intensity,e,subsurface,3,15.35450743,0,31.0701978,1.271678439,0.224213057,0.440883487,0.107850081,0.166546363
Low intensity,f,subsurface,3,16.78452539,0,15.1548253,1.486252929,0.548865495,0.722125357,0.239913421,0.347414088
Low intensity,g,subsurface,3,13.29913269,5.423634411,25.17758641,2.130530308,0.256206779,0.467246699,0.238314258,0.18627911
Low intensity,h,subsurface,3,7.601493772,6.684364836,17.15299298,1.475711755,0.42633336,0.641723984,0.220654245,0.297441833
Low intensity,i,subsurface,3,33.51808366,24.08722195,46.24076998,3.820403328,1.015474238,1.196536275,0.412169146,0.501409037
Low intensity,j,subsurface,3,22.32577275,9.420491994,23.21969984,2.172458719,0.444555903,0.527414143,0.204587101,0.239997664
High intensity,a,asurface,21,48.96226939,32.24644833,61.0740403,5.939649162,0.781006695,1.222312532,0.497798123,0.618658372
High intensity,b,asurface,21,76.67343385,25.16153247,64.02035208,4.849786348,0.885293314,1.451224496,0.58214634,0.843947145
High intensity,c,asurface,21,56.2799565,27.02333332,45.81266992,4.094507738,0.767371423,1.120206759,0.567761913,0.780311292
High intensity,d,asurface,21,72.21541368,32.78433777,50.58156135,4.082292968,0.95023083,1.415211458,0.634327571,0.933345499
High intensity,e,asurface,21,45.88008038,16.75174309,44.63044849,4.151250761,0.607194963,1.013026193,0.424968337,0.645647899
Low intensity,f,asurface,21,23.27283573,10.91124538,18.4715529,2.521470414,0.601167198,0.955005302,0.311370189,0.425822635
Low intensity,g,asurface,21,17.2331742,5.85894991,23.47545931,2.413894483,0.513263974,0.635254719,0.470036744,0.352714076
Low intensity,h,asurface,21,23.58329088,5.033403691,28.43575626,2.619579776,0.598055648,0.893281284,0.306743671,0.454034146
Low intensity,i,asurface,21,22.32439758,14.46429743,39.37242589,3.779587403,0.546994942,0.877966032,0.311022607,0.568762021
Low intensity,j,asurface,21,30.67917897,18.12874194,35.63478058,3.688279485,0.602729218,0.656889373,0.284746263,0.349031825
High intensity,a,subsurface,21,6.360241744,0,24.14471692,0.49058945,0.148567793,0.22604165,0.061144598,0.089143344
High intensity,b,subsurface,21,19.77882076,4.065731386,45.83182795,2.864376445,0.158627441,0.2849809,0.085083331,0.152716103
High intensity,c,subsurface,21,9.668291033,1.962220993,26.81497259,1.265819379,0.142103361,0.316150238,0.084381642,0.155381014
High intensity,d,subsurface,21,6.300829517,2.170547031,27.37890414,1.93493539,0.074901056,0.176657961,0.044573559,0.094475573
High intensity,e,subsurface,21,7.562085103,1.012131002,26.8783857,1.516025696,0.21236294,0.28817188,0.110698788,0.120396354
Low intensity,f,subsurface,21,14.83953997,0,22.08312872,1.613329693,0.455930836,0.591849787,0.182188166,0.211711126
Low intensity,g,subsurface,21,19.52158491,4.795858743,22.5368399,1.755592278,0.368254448,0.693021758,0.313417283,0.290259824
Low intensity,h,subsurface,21,10.41760076,1.779166017,18.2327125,0.93896308,0.2541509,0.211826421,0.156130266,0.176702078
Low intensity,i,subsurface,21,24.00199556,5.95756178,32.43231991,2.087372089,0.546467087,0.709809693,0.303652941,0.319418896
Low intensity,j,subsurface,21,12.51741555,4.335360687,20.34283586,1.401672592,0.47909846,0.650614916,0.232654979,0.263833678
High intensity,a,asurface,92,30.65836132,28.9113759,50.55379281,6.636220325,0.60334571,0.872720716,0.547997034,0.659197266
High intensity,b,asurface,92,33.65458869,36.99937912,61.30142652,6.701338641,0.793820784,0.898483081,0.719476046,0.857338282
High intensity,c,asurface,92,32.45422484,27.62514505,62.11086153,8.0299948,0.573558929,0.708705884,0.46643103,0.612209942
High intensity,d,asurface,92,35.76893282,28.81074224,70.02425986,6.788329782,0.498124312,0.718727118,0.525908719,0.693672326
High intensity,e,asurface,92,35.72541518,33.40087726,48.7677228,5.632599097,0.56585521,0.697938021,0.450814929,0.653337805
Low intensity,f,asurface,92,25.28622688,20.29730036,41.93428725,6.256839387,0.568360008,0.702712965,0.39158315,0.523899612
Low intensity,g,asurface,92,18.23086856,16.73552283,34.04845314,5.232449077,0.446616519,0.557156383,0.339868275,0.462671697
Low intensity,h,asurface,92,27.86416456,24.19569946,48.71612897,7.604852698,0.716145215,0.900103963,0.444597662,0.553368986
Low intensity,i,asurface,92,43.43287488,29.22081977,57.04647045,7.606247907,0.699234408,0.813120263,0.436254365,0.574379532
Low intensity,j,asurface,92,11.6169995,11.03715939,27.92609644,4.583807864,0.411443889,0.540471251,0.345612299,0.505178233
High intensity,a,subsurface,92,5.221349458,1.00691819,24.25040461,1.24102229,0.148240549,0.299169899,0.101460036,0.139954197
