OTU,MCA1,MCA2,MCA3,MCA4,MCA5,MCG1,MCG2,MCG3,MCG4,MCG5,sum,taxonomy
OTU21994,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU15464,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified
OTU19062,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus; s__Rhizophagus_sp_SH197525.07FU
OTU11826,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU11827,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__Thanatephorus; s__Thanatephorus_cucumeris_SH216336.07FU
OTU11824,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU11825,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU11822,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH485469.07FU
OTU11823,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU11820,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales
OTU11821,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Claroideoglomeraceae
OTU11828,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Pterulaceae; g__Pterula; s__Pterula_sp_SH460787.07FU
OTU11829,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU17257,0,0,0,0,0,0,77,0,0,0,77,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Bolbitiaceae; g__Conocybe; s__Conocybe_brachypodii_SH033803.07FU
OTU17256,1,0,0,0,0,0,0,5,0,0,6,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_radiata_SH218997.07FU
OTU17255,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Entolomataceae; g__Entoloma; s__Entoloma_sacchariolens_SH197363.07FU
OTU17254,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes
OTU17253,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU17252,0,0,0,0,0,2280,673,0,0,0,2953,k__Fungi
OTU17251,0,4,0,2,0,0,0,0,0,0,6,k__Fungi
OTU17250,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Corallonectria; s__Corallonectria_jatrophae_SH194435.07FU
OTU17259,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
OTU17258,0,26,0,0,27,0,0,0,0,0,53,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis; s__Coprinopsis_narcotica_SH219019.07FU
OTU4470,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4471,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae
OTU4472,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Chytridiomycota_sp_SH029310.07FU
OTU4473,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4474,0,0,0,0,0,0,0,0,0,0,0,Unassignable
OTU4475,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH480765.07FU
OTU4476,0,13,0,0,0,0,0,0,0,0,13,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sp_SH484965.07FU
OTU4477,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4478,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4479,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2739,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH471931.07FU
OTU2738,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU7929,0,0,0,0,0,0,0,0,0,0,0,Unassignable
OTU7928,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2735,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2734,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU7925,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU7924,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH480261.07FU
OTU2731,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU7922,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU2733,4,0,0,0,1,0,0,0,0,0,5,k__Fungi
OTU7920,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU18425,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Ganodermataceae; g__Ganoderma
OTU18424,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU18427,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae
OTU18426,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes
OTU18421,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae
OTU18420,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; g__unidentified; s__Clavariaceae_sp_SH004147.07FU
OTU18423,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU18422,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes
OTU18429,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH459961.07FU
OTU18428,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales
OTU10151,0,0,0,0,0,10,0,0,0,0,10,k__Fungi
OTU10150,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactarius
OTU10153,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales
OTU10152,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10155,0,1,0,0,0,0,0,0,0,0,1,Unassignable
OTU10154,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1189,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1188,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1187,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU10158,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1185,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1184,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1183,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1182,0,0,0,0,0,0,0,0,0,0,0,Unassignable
OTU1181,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU1180,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU34034,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH211018.07FU
OTU34035,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_sp_SH217002.07FU
OTU34036,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__unidentified; g__unidentified; s__Helotiales_sp_SH211018.07FU
OTU34037,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes
OTU34030,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_sp_SH029391.07FU
OTU34031,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__unidentified
OTU34032,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae_sedis; f__Myxotrichaceae; g__Oidiodendron; s__Oidiodendron_pilicola_SH216991.07FU
OTU34033,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU34038,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales
OTU34039,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes
OTU31204,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU31205,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified
OTU31206,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU31207,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU31200,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_SH025653.07FU
OTU31201,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae
OTU31202,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU31203,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU31208,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU31209,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4294,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4295,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4296,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__Fungi_sp_SH472253.07FU
OTU4297,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4290,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4291,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Zygomycota; c__Incertae_sedis; o__Mortierellales; f__unidentified; g__unidentified; s__Mortierellales_sp_SH465267.07FU
OTU4292,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4293,7,8,0,8,0,0,19,0,5,0,47,Unassignable
OTU4298,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
OTU4299,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Pseudozyma; s__Pseudozyma_parantarctica_SH182781.07FU
OTU23789,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota
OTU14700,0,0,0,0,0,0,0,0,0,0,0,k__Fungi
