OTU ID,MCA1,MCA2,MCA3,MCA4,MCA5,MCG1,MCG2,MCG3,MCG4,MCG5,sum,taxonomy
OTU11826,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
OTU11827,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__; s__
OTU11824,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
OTU11825,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
OTU11822,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Cupriavidus; s__
OTU11823,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
OTU11820,1,0,0,0,0,0,0,0,0,0,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__
OTU11821,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__
OTU11828,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__MND4; g__; s__
OTU11829,0,0,0,0,0,5,0,0,0,0,5,k__Bacteria; p__Acidobacteria; c__iii1-8; o__DS-18; f__; g__; s__
OTU17257,4,0,0,0,6,0,0,4,0,1,15,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU17256,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU17255,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Chlorobi; c__Ignavibacteria; o__Ignavibacteriales; f__Ignavibacteriaceae; g__; s__
OTU17254,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__[Cerasicoccales]; f__[Cerasicoccaceae]; g__; s__
OTU17253,1,0,10,0,0,0,6,0,0,2,19,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__; g__; s__
OTU17252,1,0,2,0,0,0,0,0,0,0,3,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU17251,0,0,0,0,0,25,3,11,7,29,75,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU17250,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
OTU19063,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
OTU17259,6,11,0,0,0,0,0,0,0,0,17,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__; g__; s__
OTU17258,2,25,1,20,7,0,4,4,5,1,69,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
OTU31298,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__
OTU4470,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__
OTU4471,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10; g__; s__
OTU4472,2,8,6,5,3,6,12,2,5,3,52,k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__0319-6A21; g__; s__
OTU4473,1,10,2,0,0,3,0,0,0,0,16,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
OTU4474,0,0,0,0,0,0,0,0,0,3,3,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__RB40; g__; s__
OTU4475,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__
OTU4476,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
OTU4477,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
OTU4478,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__[Entotheonellales]; f__[Entotheonellaceae]; g__; s__
OTU4479,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
OTU2739,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__FAC87; f__; g__; s__
OTU2738,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__PRR-10; g__; s__
